,estimator,min_score,mean_score,max_score,std_score,C,algorithm,alpha,criterion,gamma,hidden_layer_sizes,kernel,max_depth,max_features,max_iter,n_estimators,n_neighbors,random_state,solver,weights
257,ExtraTreesClassifier,0.6796515450361604,0.7214608055392271,0.7895299145299145,0.03114612212379414,,,,gini,,,,6,sqrt,,20,,,,
435,mlp,0.6549967126890204,0.7207374377204547,0.7915023011176856,0.044707756352027284,,,0.0001,,,13,,,,1500,,,1,lbfgs,
322,ExtraTreesClassifier,0.6697074293228139,0.7206387781937232,0.7755588428665351,0.028225269337457812,,,,entropy,,,,5,auto,,10,,,,
376,ExtraTreesClassifier,0.6694608809993425,0.7205717761536943,0.7573142669296515,0.03138882411211932,,,,entropy,,,,8,auto,,10,,,,
359,ExtraTreesClassifier,0.6817882971729127,0.7203773956646086,0.7737508218277449,0.03129937361713205,,,,entropy,,,,7,auto,,20,,,,
251,ExtraTreesClassifier,0.6554279054279054,0.7203662235755142,0.7702991452991452,0.03693093205533421,,,,gini,,,,6,auto,,20,,,,
242,ExtraTreesClassifier,0.6877054569362262,0.7199470983561893,0.768491124260355,0.02582520708174638,,,,gini,,,,5,sqrt,,100,,,,
315,ExtraTreesClassifier,0.6775147928994083,0.7196443707807344,0.776051939513478,0.02981915342918345,,,,entropy,,,,4,sqrt,,500,,,,
229,ExtraTreesClassifier,0.6840894148586456,0.7194065272611725,0.7654503616042078,0.02613836898301995,,,,gini,,,,4,log2,,50,,,,
231,ExtraTreesClassifier,0.6789940828402367,0.7193183453797839,0.7757232084155161,0.030884408588530806,,,,gini,,,,4,log2,,500,,,,
335,ExtraTreesClassifier,0.6515450361604208,0.7192014113093035,0.7859960552268245,0.035546810231133354,,,,entropy,,,,5,log2,,20,,,,
245,ExtraTreesClassifier,0.6747205785667325,0.7191896376461812,0.7633957922419461,0.02632902245199157,,,,gini,,,,5,log2,,20,,,,
323,ExtraTreesClassifier,0.67077580539119,0.7191138698131706,0.7761341222879685,0.03614082014860482,,,,entropy,,,,5,auto,,20,,,,
347,ExtraTreesClassifier,0.6538461538461539,0.7187807253241819,0.7954470742932281,0.04096494553325271,,,,entropy,,,,6,sqrt,,20,,,,
234,ExtraTreesClassifier,0.6834319526627219,0.7183692514611595,0.7661900065746219,0.02607228230671792,,,,gini,,,,5,auto,,40,,,,
219,ExtraTreesClassifier,0.6821170282708745,0.7181738882163459,0.7683267587113741,0.028302894204022006,,,,gini,,,,4,auto,,500,,,,
340,ExtraTreesClassifier,0.6734878369493754,0.7180637516551602,0.7632314266929652,0.02929321262255275,,,,entropy,,,,6,auto,,10,,,,
314,ExtraTreesClassifier,0.6763642340565418,0.7179174097630641,0.7694773175542406,0.03032385673507126,,,,entropy,,,,4,sqrt,,100,,,,
262,ExtraTreesClassifier,0.6492439184746878,0.7178750778026503,0.7896778546129195,0.0450418109911905,,,,gini,,,,6,log2,,10,,,,
34,SVC,0.6628862590401052,0.7178404387819972,0.8002136752136751,0.039516776758351295,5,,,,0.0001,,rbf,,,,,,,,
274,ExtraTreesClassifier,0.6372452333990796,0.7173998980817163,0.7772846811308349,0.037715324203206176,,,,gini,,,,7,sqrt,,10,,,,
309,ExtraTreesClassifier,0.6825674325674327,0.7167472706558621,0.7660256410256411,0.02735129671491432,,,,entropy,,,,4,auto,,500,,,,
230,ExtraTreesClassifier,0.6729104229104229,0.7165374349814909,0.7617521367521367,0.027351420656643293,,,,gini,,,,4,log2,,100,,,,
308,ExtraTreesClassifier,0.6795704295704296,0.716310278410678,0.7704635108481263,0.02761625531835068,,,,entropy,,,,4,auto,,100,,,,
358,ExtraTreesClassifier,0.6835963182117027,0.7161933512707739,0.7593186034744476,0.022831385279883692,,,,entropy,,,,7,auto,,10,,,,
235,ExtraTreesClassifier,0.6704470742932281,0.71601848174026,0.7645463510848127,0.03107335738278981,,,,gini,,,,5,auto,,50,,,,
321,ExtraTreesClassifier,0.6809664694280079,0.7159096439690845,0.7765450361604208,0.030815898575206623,,,,entropy,,,,4,log2,,500,,,,
222,ExtraTreesClassifier,0.6729125575279421,0.7157971108145933,0.753698224852071,0.02707377702021702,,,,gini,,,,4,sqrt,,40,,,,
311,ExtraTreesClassifier,0.6595989480604865,0.715497145766876,0.7697238658777119,0.03536198847791206,,,,entropy,,,,4,sqrt,,20,,,,
325,ExtraTreesClassifier,0.6862261669953977,0.7154304306527084,0.775887573964497,0.02510066185340024,,,,entropy,,,,5,auto,,50,,,,
407,mlp,0.6632149901380671,0.7152112442447107,0.7671761998685076,0.034250511313246114,,,0.1,,,13,,,,1000,,,1,lbfgs,
415,mlp,0.6579552925706772,0.715112516798331,0.7712853385930308,0.035658536153196765,,,0.1,,,13,,,,2000,,,1,lbfgs,
224,ExtraTreesClassifier,0.6755424063116371,0.7149782354952186,0.768819855358317,0.029152207688349648,,,,gini,,,,4,sqrt,,100,,,,
312,ExtraTreesClassifier,0.6750749250749252,0.7149238956182014,0.7594510190664037,0.028756387091284502,,,,entropy,,,,4,sqrt,,40,,,,
329,ExtraTreesClassifier,0.6664169164169164,0.7148539813499853,0.7722715318869164,0.03228083081042907,,,,entropy,,,,5,sqrt,,20,,,,
411,mlp,0.6581196581196581,0.7147599930317213,0.7717784352399738,0.036176821395215365,,,0.1,,,13,,,,1500,,,1,lbfgs,
320,ExtraTreesClassifier,0.6704470742932281,0.7143716492742466,0.760930309007232,0.029306019724859148,,,,entropy,,,,4,log2,,100,,,,
318,ExtraTreesClassifier,0.6717449217449217,0.7143037961594405,0.7727646285338593,0.03410054329196013,,,,entropy,,,,4,log2,,40,,,,
319,ExtraTreesClassifier,0.6862304362304362,0.7139374514374515,0.7693129520052597,0.027400402742146453,,,,entropy,,,,4,log2,,50,,,,
228,ExtraTreesClassifier,0.6714332675871139,0.7139086992483594,0.76232741617357,0.03172734251433521,,,,gini,,,,4,log2,,40,,,,
29,SVC,0.6589414858645628,0.7137372742142972,0.7952827087442472,0.03939680815358726,4,,,,0.0001,,rbf,,,,,,,,
456,mlp,0.6318211702827087,0.7136280552614219,0.777120315581854,0.043393612853220215,,,1e-07,,,13,,,,1000,,,3,lbfgs,
239,ExtraTreesClassifier,0.6681459566074951,0.7130565821125262,0.7558349769888231,0.026514604177853594,,,,gini,,,,5,sqrt,,20,,,,
218,ExtraTreesClassifier,0.6771860618014465,0.7128760114898977,0.7604372123602893,0.027785780753906822,,,,gini,,,,4,auto,,100,,,,
280,ExtraTreesClassifier,0.6793228139381985,0.7128661063101623,0.7714623039298364,0.031357041163367974,,,,gini,,,,7,log2,,10,,,,
